place,artist,counts
485,The Script,1483.0
486,Oliver,1481.0
487,Ingrid Michaelson,1475.0
488,Faces,1475.0
489,Patsy Cline,1471.0
490,Whiskeytown,1464.0
491,Frankie Laine,1457.0
492,Hooverphonic,1444.0
493,Yukmouth,1438.0
494,Uncle Tupelo,1408.0
495,Men At Work,1406.0
496,Selena Gomez,1401.0
497,Andrea Bocelli,1395.0
498,Eagles,1391.0
499,Veruca Salt,1391.0
500,Zac Brown Band,1383.0
501,Zoegirl,1378.0
502,Selah,1378.0
503,Ugly Kid Joe,1372.0
504,Grease,1369.0
505,Yung Joc,1368.0
506,Stone Roses,1368.0
507,Unwritten Law,1364.0
508,Yo La Tengo,1362.0
509,Lata Mangeshkar,1360.0
510,Rick Astley,1351.0
511,Little Mix,1349.0
512,Unseen,1338.0
513,Savage Garden,1320.0
514,Louis Jordan,1313.0
515,Creedence Clearwater Revival,1312.0
516,Planetshakers,1295.0
517,Erik Santos,1293.0
518,Yeah Yeah Yeahs,1289.0
519,Verve,1277.0
520,Imagine Dragons,1276.0
521,Frankie Goes To Hollywood,1263.0
522,Quietdrive,1248.0
523,Oscar Hammerstein,1227.0
524,George Formby,1225.0
525,Zucchero,1214.0
526,Queen Adreena,1213.0
527,YG,1212.0
528,Frankie Valli,1209.0
529,Starship,1197.0
530,X-Raided,1195.0
531,Xscape,1192.0
532,OneRepublic,1191.0
533,Young Dro,1181.0
534,Free,1177.0
535,Xavier Rudd,1169.0
536,Divine,1165.0
537,Zao,1163.0
538,The Weeknd,1151.0
539,Aled Jones,1150.0
540,Matt Monro,1139.0
541,Wang Chung,1137.0
542,Orphaned Land,1131.0
543,Enigma,1114.0
544,Happy Mondays,1110.0
545,Fun.,1109.0
546,Aiza Seguerra,1107.0
547,Bill Withers,1103.0
548,Enya,1093.0
549,Christina Perri,1092.0
550,Imperials,1090.0
551,Housemartins,1086.0
552,Ten Years After,1080.0
553,Mazzy Star,1079.0
554,Quarashi,1076.0
555,Quincy Punx,1072.0
556,Falco,1066.0
557,The Broadways,1064.0
558,Unkle,1060.0
559,Ariel Rivera,1060.0
560,Wham!,1033.0
561,Raffi,1021.0
562,Wilson Phillips,1009.0
563,Il Divo,1003.0
564,Dewa 19,1000.0
565,Iwan Fals,963.0
566,Mark Ronson,955.0
567,Mud,941.0
568,Quasi,939.0
569,Quincy Jones,937.0
570,Xiu Xiu,935.0
571,Xandria,934.0
572,High School Musical,928.0
573,Barbie,924.0
574,Halloween,920.0
575,Cole Porter,901.0
576,Zox,900.0
577,Carol Banawa,900.0
578,Beauty And The Beast,898.0
579,Don Moen,898.0
580,Zero 7,896.0
581,Kari Jobe,892.0
582,Jose Mari Chan,889.0
583,Quarterflash,889.0
